ReleasableAccidents_Year,Death (1 = Yes),Injury (1 = Yes),NumberDeaths,NumberInjured,NumberVesselsInvolved,TotalDamage,Date,Time,State,WaterConditions,Wind,Day (1 = yes),Visibility,DayofWeek,AccidentCause,AccidentEvent,OperatorGender,OperatorAge,OperatorUsingAlcohol,VesselType,Length,Operation,Activity,Yearbuilt,NumberPeopleOnboard,DeceasedAge,DeceasedGender,CauseofDeath,DeceasedPFDWorn,DeceasedRole,InjuredGender,InjuredAge,InjuryType,InjuredRole
2017,1,0,2,0,1,0,2/11/2017,9:00:00 AM,AK,Very Rough,Strong,0,Poor,Saturday,Weather,Capsizing,M,38,0,Open motorboat,16,Cruising,Boating/relaxation,2002,2,45,M,Unknown,,Occupant,,,,
2017,1,0,2,0,1,0,2/11/2017,10:00:00 AM,AK,Very Rough,Strong,0,Poor,Saturday,Weather,Capsizing,M,38,0,Open motorboat,16,Cruising,Boating/relaxation,2002,2,38,M,Unknown,,Operator,,,,
2017,1,1,2,1,1,0,5/20/2017,11:00:00 AM,AK,Unknown,Light,0,Fair,Saturday,Sharp turn,Capsizing,M,56,0,Open motorboat,22,Changing direction,Hunting,1986,3,56,M,Drowning,N,Operator,F,46,Shock,Occupant
2017,1,1,2,1,1,0,5/20/2017,12:00:00 PM,AK,Unknown,Light,0,Fair,Saturday,Sharp turn,Capsizing,M,56,0,Open motorboat,22,Changing direction,Hunting,1986,3,38,F,Drowning,N,Occupant,F,46,Shock,Occupant
2017,1,0,2,0,1,0,5/24/2017,1:00:00 PM,AK,Calm,None,1,Fair,Wednesday,Hull failure,Flooding/swamping,M,75,0,Other,,Drifting,Hunting,,2,75,M,Drowning,N,Operator,,,,
2017,1,0,2,0,1,0,5/24/2017,1:00:00 PM,AK,Calm,None,1,Fair,Wednesday,Hull failure,Flooding/swamping,M,75,0,Other,,Drifting,Hunting,,2,68,F,Drowning,N,Occupant,,,,
2017,1,0,2,0,1,0,6/11/2017,2:30:00 AM,AK,Rough,Strong,0,Poor,Sunday,Hazardous waters,Flooding/swamping,M,21,0,Rowboat,8,Rowing/paddling,Boating/relaxation,,2,21,M,Drowning,N,Operator,,,,
2017,1,0,2,0,1,0,6/11/2017,2:30:00 AM,AK,Rough,Strong,0,Poor,Sunday,Hazardous waters,Flooding/swamping,M,21,0,Rowboat,8,Rowing/paddling,Boating/relaxation,,2,14,M,Drowning,N,Occupant,,,,
2017,1,0,2,0,1,0,6/11/2017,8:00:00 PM,AK,Unknown,Unknown,1,Unknown,Sunday,Unknown,Flooding/swamping,M,55,0,Open motorboat,22,Cruising,Fishing,2014,2,55,M,Drowning,Y,Operator,,,,
2017,1,0,2,0,1,0,6/11/2017,8:00:00 PM,AK,Unknown,Unknown,1,Unknown,Sunday,Unknown,Flooding/swamping,M,55,0,Open motorboat,22,Cruising,Fishing,2014,2,35,M,Drowning,N,Occupant,,,,
2017,1,0,2,0,1,0,6/17/2017,3:01:00 PM,AK,Rough,Unknown,1,Unknown,Saturday,Operator inexperience,Flooding/swamping,M,42,0,Open motorboat,18,Cruising,Fishing,1993,4,43,M,Drowning,N,Occupant,,,,
2017,1,0,2,0,1,0,6/17/2017,3:01:00 PM,AK,Rough,Unknown,1,Unknown,Saturday,Operator inexperience,Flooding/swamping,M,42,0,Open motorboat,18,Cruising,Fishing,1993,4,53,M,Drowning,N,Occupant,,,,
2017,1,0,1,0,2,0,6/19/2017,5:02:00 PM,AK,Calm,None,1,Good,Monday,Force of wake/wave,Capsizing,M,67,0,Canoe,15,Rowing/paddling,Boating/relaxation,,2,67,M,Drowning,Y,Operator,,,,
2017,1,0,1,0,2,0,6/19/2017,5:02:00 PM,AK,Calm,None,1,Good,Monday,Force of wake/wave,Capsizing,M,52,0,Cabin motorboat,20,Cruising,Boating/relaxation,1993,,,,,,,,,,
2017,1,0,1,0,1,0,6/22/2017,7:56:00 PM,AK,Calm,Light,1,Fair,Thursday,Unknown,Capsizing,M,20,0,Open motorboat,18,Cruising,Boating/relaxation,2004,1,20,M,Unknown,N,Operator,,,,
2017,1,0,1,0,1,0,7/15/2017,1:12:00 PM,AK,Calm,Light,1,Fair,Saturday,Hazardous waters,Capsizing,M,63,0,Kayak,6,Rowing/paddling,Whitewater,,1,63,M,Drowning,Y,Operator,,,,
2017,0,0,0,0,1,13000,7/21/2017,11:20:00 AM,AK,Rough,Light,1,Good,Friday,Force of wake/wave,Flooding/swamping,F,57,0,Open motorboat,18,Cruising,Fishing,1985,6,,,,,,,,,
2017,1,0,1,0,1,0,8/4/2017,9:00:00 PM,AK,Calm,Light,1,Good,Friday,Machinery failure,Person ejected from vessel,M,54,1,Open motorboat,20,Cruising,Fishing,1987,4,63,M,Drowning,N,Occupant,,,,
2017,1,0,1,0,1,0,7/23/2017,12:54:00 PM,AK,Calm,Light,1,Fair,Sunday,Operator inattention,Person departed vessel,M,24,0,Standup Paddleboard,,Drifting,Swimming/snorkeling,,2,24,M,Drowning,N,Operator,,,,
2017,1,0,2,0,1,0,12/5/2017,9:00:00 PM,AK,Choppy,Moderate,0,Fair,Tuesday,Weather,Flooding/swamping,M,,0,Open motorboat,10,Cruising,Boating/relaxation,,5,50,M,Drowning,N,Unknown,,,,
2017,1,0,2,0,1,0,12/5/2017,9:00:00 PM,AK,Choppy,Moderate,0,Fair,Tuesday,Weather,Flooding/swamping,M,,0,Open motorboat,10,Cruising,Boating/relaxation,,5,48,M,Drowning,N,Unknown,,,,
2017,0,1,0,1,1,0,5/22/2017,4:34:00 PM,AK,Choppy,Moderate,1,Poor,Monday,Operator inexperience,Falls overboard,M,17,0,Standup Paddleboard,8,Rowing/paddling,Boating/relaxation,,1,,,,,,M,17,Broken bone,Operator
2017,1,0,1,0,1,0,8/21/2017,12:39:00 AM,AK,Calm,None,0,Fair,Monday,Alcohol use,Falls overboard,M,42,1,Open motorboat,20,Cruising,Boating/relaxation,2001,4,35,M,Drowning,N,Occupant,,,,
2017,1,0,1,0,1,0,1/17/2017,2:00:00 PM,AL,Calm,Light,1,Good,Tuesday,"People on gunwale, bow, or transom",Falls overboard,M,64,0,Open motorboat,12,Drifting,Fishing,2002,1,64,M,Drowning,N,Operator,,,,
